Subscription date;Subscription prices;Product category;Product name;Region;Country;City;Domain name
16/02/2024;500;Digital Experience Analytics;Zone-Based Heatmaps;South America;Colombia;Barranquilla;Commerce de détail et e-commerce
06/06/2008;10000;Product Analytics;Retention Analytics;North America;Canada;Toronto;Tourisme et voyage
05/12/2016;5000;Product Analytics;User Segments;North America;United States;Houston;Commerce de détail et e-commerce
30/01/2022;5000;Product Analytics;User Segments;North America;United States;New York City;Services financiers et bancaires
08/05/2020;500;Digital Experience Monitoring;Speed Analysis;North America;Canada;Vancouver;Services financiers et bancaires
18/07/2011;10000;Digital Experience Monitoring;Speed Analysis;Asia;China;Guangzhou;Tourisme et voyage
04/10/2012;5000;Digital Experience Monitoring;Speed Analysis;North America;United States;Chicago;Commerce de détail et e-commerce
27/01/2012;500;Digital Experience Monitoring;Speed Analysis;North America;Jamaica;Spanish Town;Tourisme et voyage
03/05/2009;1000;Digital Experience Monitoring;Speed Analysis;Europe;United Kingdom;Glasgow;Automobile et transport
10/05/2008;10000;Digital Experience Monitoring;Speed Analysis;North America;United States;Houston;Services professionnels (conseil, comptabilité, juridique)
30/05/2016;5000;Digital Experience Monitoring;Speed Analysis;Asia;China;Chengdu;Services professionnels (conseil, comptabilité, juridique)
16/06/2020;500;Digital Experience Analytics;Zone-Based Heatmaps;Europe;United Kingdom;London;Télécommunications
10/02/2014;10000;Product Analytics;Cross-Session;Europe;France;Lyon;Services financiers et bancaires
17/03/2020;10000;Digital Experience Monitoring;Speed Analysis;Europe;Spain;Seville;Commerce de détail et e-commerce
10/08/2008;500;Digital Experience Analytics;Journey Analysis;Europe;Germany;Frankfurt;Commerce de détail et e-commerce
19/05/2018;5000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;France;Marseille;Tourisme et voyage
19/02/2013;5000;Key Capabilities;Mobile App Analytics;Europe;United Kingdom;Liverpool;Tourisme et voyage
30/05/2009;500;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;New York City;Services professionnels (conseil, comptabilité, juridique)
11/04/2020;1000;Digital Experience Monitoring;Speed Analysis;North America;Mexico;Monterrey;Commerce de détail et e-commerce
17/01/2017;1000;Product Analytics;Retention Analytics;North America;United States;Los Angeles;Services financiers et bancaires
20/05/2014;2000;Product Analytics;Retention Analytics;North America;Canada;Calgary;Commerce de détail et e-commerce
30/11/2016;5000;Digital Experience Monitoring;Speed Analysis;Europe;United Kingdom;London;Services professionnels (conseil, comptabilité, juridique)
26/07/2022;1000;Product Analytics;User Segments;Europe;United Kingdom;Birmingham;Santé et soins de santé
11/05/2017;500;Key Capabilities;Session Replay;Europe;Spain;Zaragoza;Télécommunications
14/12/2016;1000;Key Capabilities;Impact Quantification;North America;Canada;Montreal;Télécommunications
25/08/2011;1000;Digital Experience Analytics;Journey Analysis;Europe;Spain;Seville;Commerce de détail et e-commerce
20/02/2009;500;Product Analytics;Retention Analytics;Africa;Egypt;Port Said;Commerce de détail et e-commerce
19/12/2013;1000;Product Analytics;Cross-Session;South America;Chile;Viña del Mar;Services professionnels (conseil, comptabilité, juridique)
01/02/2011;2000;Digital Experience Monitoring;Speed Analysis;North America;Canada;Vancouver;Services professionnels (conseil, comptabilité, juridique)
23/08/2008;500;Digital Experience Monitoring;Speed Analysis;Europe;Spain;Zaragoza;Commerce de détail et e-commerce
13/08/2012;5000;Product Analytics;Cross-Session;Europe;France;Paris;Automobile et transport
20/01/2019;10000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Houston;Services financiers et bancaires
01/11/2008;5000;Product Analytics;User Segments;Europe;Spain;Zaragoza;Services financiers et bancaires
26/09/2020;1000;Digital Experience Analytics;Merchandising;North America;United States;Los Angeles;Sports et loisirs
11/06/2023;10000;Product Analytics;User Segments;Europe;Italy;Turin;Santé et soins de santé
12/05/2011;2000;Product Analytics;User Segments;South America;Argentina;La Plata;Services professionnels (conseil, comptabilité, juridique)
12/11/2021;1000;Digital Experience Analytics;Journey Analysis;North America;United States;Phoenix;Services professionnels (conseil, comptabilité, juridique)
17/04/2018;2000;Product Analytics;User Segments;North America;Mexico;Puebla;Médias et divertissement
05/02/2015;500;Key Capabilities;Session Replay;North America;United States;Chicago;Tourisme et voyage
10/06/2014;1000;Product Analytics;User Segments;Africa;Egypt;Suez;Sports et loisirs
05/12/2016;5000;Digital Experience Monitoring;Error Analysis;Asia;Japan;Yokohama;Télécommunications
29/03/2014;10000;Digital Experience Monitoring;Speed Analysis;Asia;South Korea;Busan;Télécommunications
07/12/2023;1000;Digital Experience Monitoring;Error Analysis;Asia;Japan;Sapporo;Tourisme et voyage
15/07/2012;2000;Product Analytics;Retention Analytics;Europe;Italy;Milan;Santé et soins de santé
03/10/2015;2000;Digital Experience Monitoring;Speed Analysis;South America;Brazil;Fortaleza;Commerce de détail et e-commerce
03/11/2016;5000;Key Capabilities;Impact Quantification;Europe;United Kingdom;Birmingham;Télécommunications
18/10/2020;10000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Cuba;Santa Clara;Services financiers et bancaires
17/09/2019;500;Digital Experience Monitoring;Speed Analysis;South America;Colombia;Cartagena;Services professionnels (conseil, comptabilité, juridique)
20/02/2016;2000;Digital Experience Monitoring;Speed Analysis;Europe;Spain;Barcelona;Éducation et formation
31/03/2020;1000;Key Capabilities;Session Replay;North America;Canada;Vancouver;Automobile et transport
15/09/2011;5000;Digital Experience Monitoring;Speed Analysis;North America;Jamaica;Spanish Town;Services financiers et bancaires
13/08/2011;1000;Product Analytics;User Segments;Africa;Egypt;Giza;Commerce de détail et e-commerce
27/02/2014;500;Digital Experience Analytics;Zone-Based Heatmaps;North America;Cuba;Holguín;Sports et loisirs
11/07/2016;2000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Canada;Ottawa;Tourisme et voyage
15/11/2013;2000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;France;Lyon;Commerce de détail et e-commerce
12/05/2015;5000;Product Analytics;User Segments;Europe;France;Marseille;Automobile et transport
10/12/2020;10000;Digital Experience Analytics;Journey Analysis;Europe;Spain;Madrid;Médias et divertissement
19/02/2017;500;Digital Experience Monitoring;Frustration Scoring;North America;Mexico;Puebla;Éducation et formation
30/11/2020;10000;Key Capabilities;Session Replay;North America;United States;Chicago;Services professionnels (conseil, comptabilité, juridique)
02/08/2010;5000;Product Analytics;User Segments;Asia;India;Mumbai;Tourisme et voyage
06/07/2014;5000;Key Capabilities;Impact Quantification;Europe;Italy;Rome;Tourisme et voyage
28/10/2021;5000;Digital Experience Monitoring;Speed Analysis;Africa;Egypt;Port Said;Santé et soins de santé
07/03/2013;2000;Product Analytics;Cross-Session;Europe;Italy;Naples;Services financiers et bancaires
21/07/2014;5000;Digital Experience Analytics;Zone-Based Heatmaps;Africa;Nigeria;Lagos;Automobile et transport
18/08/2021;2000;Product Analytics;User Segments;North America;United States;Los Angeles;Commerce de détail et e-commerce
15/05/2016;500;Key Capabilities;Session Replay;South America;Peru;Trujillo;Commerce de détail et e-commerce
27/10/2008;5000;Digital Experience Monitoring;Speed Analysis;North America;United States;Chicago;Santé et soins de santé
19/09/2014;1000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Spain;Seville;Tourisme et voyage
06/08/2010;500;Product Analytics;User Segments;Africa;South Africa;Johannesburg;Sports et loisirs
11/02/2022;500;Product Analytics;User Segments;Africa;Egypt;Giza;Santé et soins de santé
28/08/2023;10000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Jamaica;Montego Bay;Automobile et transport
27/01/2020;500;Product Analytics;User Segments;North America;United States;Phoenix;Services financiers et bancaires
14/09/2008;1000;Digital Experience Monitoring;Error Analysis;Asia;Japan;Yokohama;Santé et soins de santé
20/07/2013;10000;Digital Experience Monitoring;Error Analysis;North America;Canada;Montreal;Médias et divertissement
29/12/2019;500;Product Analytics;Cross-Session;North America;Canada;Montreal;Automobile et transport
27/03/2011;5000;Key Capabilities;Mobile App Analytics;Asia;China;Chengdu;Services professionnels (conseil, comptabilité, juridique)
20/07/2017;2000;Product Analytics;Retention Analytics;Asia;India;New Delhi;Santé et soins de santé
01/12/2014;1000;Product Analytics;User Segments;North America;Mexico;Puebla;Médias et divertissement
24/10/2010;500;Product Analytics;User Segments;Africa;South Africa;Durban;Services financiers et bancaires
23/04/2016;5000;Product Analytics;User Segments;Europe;France;Marseille;Santé et soins de santé
07/02/2022;500;Digital Experience Analytics;Zone-Based Heatmaps;Europe;United Kingdom;Manchester;Télécommunications
15/11/2019;2000;Product Analytics;User Segments;North America;United States;Houston;Médias et divertissement
04/04/2022;500;Digital Experience Monitoring;Speed Analysis;North America;Cuba;Santa Clara;Services professionnels (conseil, comptabilité, juridique)
15/07/2020;10000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Germany;Cologne;Tourisme et voyage
03/05/2008;10000;Product Analytics;User Segments;North America;United States;Chicago;Sports et loisirs
08/12/2023;1000;Key Capabilities;Mobile App Analytics;Europe;Italy;Rome;Commerce de détail et e-commerce
26/06/2014;5000;Product Analytics;User Segments;Asia;Japan;Nagoya;Commerce de détail et e-commerce
08/08/2018;5000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Germany;Munich;Automobile et transport
11/11/2014;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Phoenix;Médias et divertissement
14/02/2018;10000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;Japan;Osaka;Éducation et formation
03/05/2012;2000;Digital Experience Analytics;Zone-Based Heatmaps;Africa;Nigeria;Lagos;Services professionnels (conseil, comptabilité, juridique)
02/10/2020;2000;Digital Experience Analytics;Journey Analysis;North America;United States;Los Angeles;Éducation et formation
19/09/2008;5000;Digital Experience Analytics;Zone-Based Heatmaps;Africa;Nigeria;Kano;Télécommunications
26/01/2014;10000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Germany;Hamburg;Santé et soins de santé
03/02/2016;500;Product Analytics;Retention Analytics;Asia;India;Kolkata;Tourisme et voyage
10/05/2008;1000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Houston;Sports et loisirs
23/08/2016;1000;Digital Experience Monitoring;Speed Analysis;North America;United States;Chicago;Santé et soins de santé
12/09/2023;10000;Digital Experience Monitoring;Frustration Scoring;North America;United States;Houston;Automobile et transport
16/12/2020;500;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Phoenix;Sports et loisirs
11/08/2012;500;Product Analytics;User Segments;South America;Chile;Antofagasta;Services professionnels (conseil, comptabilité, juridique)
03/01/2016;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Jamaica;Portmore;Services financiers et bancaires
20/01/2024;1000;Key Capabilities;Mobile App Analytics;North America;United States;Houston;Éducation et formation
01/08/2008;5000;Product Analytics;User Segments;North America;United States;Chicago;Services professionnels (conseil, comptabilité, juridique)
13/07/2017;5000;Digital Experience Analytics;Merchandising;North America;Mexico;Guadalajara;Santé et soins de santé
19/01/2020;2000;Product Analytics;User Segments;South America;Brazil;Brasília;Santé et soins de santé
17/11/2009;2000;Product Analytics;User Segments;North America;Canada;Montreal;Services financiers et bancaires
13/07/2012;10000;Product Analytics;User Segments;North America;United States;Phoenix;Santé et soins de santé
02/06/2011;1000;Product Analytics;Retention Analytics;North America;United States;Phoenix;Télécommunications
23/02/2016;2000;Digital Experience Monitoring;Frustration Scoring;North America;United States;Phoenix;Médias et divertissement
05/07/2008;5000;Product Analytics;Retention Analytics;Europe;Germany;Berlin;Télécommunications
06/09/2021;10000;Digital Experience Monitoring;Speed Analysis;North America;Canada;Montreal;Santé et soins de santé
23/05/2023;2000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Italy;Turin;Services financiers et bancaires
27/03/2024;5000;Key Capabilities;Impact Quantification;North America;United States;Houston;Services financiers et bancaires
17/05/2008;1000;Product Analytics;User Segments;North America;United States;Chicago;Médias et divertissement
25/11/2016;5000;Key Capabilities;Impact Quantification;Europe;United Kingdom;Manchester;Services professionnels (conseil, comptabilité, juridique)
25/01/2023;500;Digital Experience Analytics;Zone-Based Heatmaps;Africa;South Africa;Johannesburg;Tourisme et voyage
16/02/2011;5000;Product Analytics;Cross-Session;North America;Canada;Vancouver;Services professionnels (conseil, comptabilité, juridique)
19/06/2008;2000;Digital Experience Analytics;Merchandising;Europe;Italy;Milan;Services professionnels (conseil, comptabilité, juridique)
02/08/2020;500;Digital Experience Analytics;Zone-Based Heatmaps;Asia;India;Bangalore;Automobile et transport
01/06/2018;5000;Product Analytics;Retention Analytics;Europe;Spain;Seville;Médias et divertissement
23/04/2022;10000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Canada;Vancouver;Sports et loisirs
26/08/2015;2000;Product Analytics;Retention Analytics;Europe;France;Lyon;Tourisme et voyage
17/07/2015;500;Product Analytics;User Segments;Europe;United Kingdom;Birmingham;Services financiers et bancaires
17/11/2011;500;Key Capabilities;Session Replay;North America;Mexico;Puebla;Services professionnels (conseil, comptabilité, juridique)
23/08/2015;500;Key Capabilities;Impact Quantification;North America;Canada;Vancouver;Services professionnels (conseil, comptabilité, juridique)
15/03/2019;5000;Digital Experience Monitoring;Speed Analysis;North America;Canada;Toronto;Médias et divertissement
21/04/2010;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Canada;Vancouver;Automobile et transport
05/02/2020;5000;Product Analytics;User Segments;South America;Colombia;Medellín;Médias et divertissement
30/08/2011;500;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;New York City;Santé et soins de santé
11/06/2017;10000;Product Analytics;User Segments;North America;United States;Phoenix;Médias et divertissement
14/01/2020;10000;Digital Experience Monitoring;Error Analysis;Africa;Kenya;Kisumu;Services professionnels (conseil, comptabilité, juridique)
26/09/2021;10000;Product Analytics;User Segments;North America;United States;Phoenix;Services financiers et bancaires
15/12/2014;10000;Digital Experience Monitoring;Speed Analysis;Europe;Spain;Valencia;Commerce de détail et e-commerce
11/02/2018;500;Key Capabilities;Session Replay;North America;United States;Los Angeles;Commerce de détail et e-commerce
28/11/2022;1000;Digital Experience Analytics;Merchandising;South America;Colombia;Barranquilla;Services financiers et bancaires
24/07/2022;5000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Germany;Cologne;Services financiers et bancaires
16/09/2008;500;Product Analytics;User Segments;North America;United States;Los Angeles;Commerce de détail et e-commerce
01/07/2008;1000;Digital Experience Monitoring;Speed Analysis;North America;United States;Los Angeles;Automobile et transport
11/03/2024;5000;Product Analytics;User Segments;South America;Peru;Lima;Tourisme et voyage
25/08/2010;5000;Product Analytics;Cross-Session;North America;United States;Los Angeles;Éducation et formation
03/08/2022;1000;Digital Experience Monitoring;Frustration Scoring;Asia;Japan;Sapporo;Santé et soins de santé
21/03/2022;500;Digital Experience Analytics;Zone-Based Heatmaps;Asia;Japan;Osaka;Éducation et formation
08/10/2019;10000;Product Analytics;Cross-Session;Europe;Spain;Seville;Télécommunications
23/07/2014;5000;Digital Experience Analytics;Journey Analysis;Asia;India;New Delhi;Services professionnels (conseil, comptabilité, juridique)
05/04/2016;10000;Product Analytics;User Segments;Europe;France;Paris;Tourisme et voyage
13/10/2016;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Cuba;Holguín;Commerce de détail et e-commerce
18/07/2016;5000;Product Analytics;User Segments;North America;Mexico;Guadalajara;Services professionnels (conseil, comptabilité, juridique)
23/07/2019;500;Digital Experience Analytics;Journey Analysis;North America;Mexico;Guadalajara;Services professionnels (conseil, comptabilité, juridique)
14/11/2018;5000;Product Analytics;User Segments;Europe;Italy;Rome;Commerce de détail et e-commerce
08/02/2020;1000;Product Analytics;User Segments;North America;Jamaica;Kingston;Services professionnels (conseil, comptabilité, juridique)
06/07/2010;500;Digital Experience Monitoring;Speed Analysis;Europe;Germany;Frankfurt;Automobile et transport
25/07/2018;2000;Product Analytics;Cross-Session;North America;United States;Chicago;Services financiers et bancaires
22/01/2020;2000;Product Analytics;User Segments;Europe;Spain;Barcelona;Sports et loisirs
30/08/2016;500;Product Analytics;User Segments;Europe;Spain;Valencia;Automobile et transport
06/05/2008;1000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;France;Nice;Télécommunications
05/11/2017;10000;Digital Experience Monitoring;Speed Analysis;Europe;Italy;Milan;Tourisme et voyage
03/03/2015;5000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;China;Guangzhou;Télécommunications
15/06/2022;10000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Germany;Frankfurt;Télécommunications
05/10/2023;5000;Product Analytics;User Segments;Europe;Germany;Hamburg;Sports et loisirs
09/07/2017;10000;Key Capabilities;Session Replay;North America;United States;Houston;Services professionnels (conseil, comptabilité, juridique)
28/03/2022;5000;Product Analytics;Retention Analytics;North America;Cuba;Holguín;Commerce de détail et e-commerce
16/04/2013;10000;Key Capabilities;Mobile App Analytics;North America;Mexico;Monterrey;Santé et soins de santé
08/04/2016;1000;Digital Experience Analytics;Merchandising;North America;Canada;Vancouver;Médias et divertissement
12/01/2015;500;Product Analytics;User Segments;North America;Canada;Toronto;Télécommunications
19/09/2015;2000;Product Analytics;User Segments;North America;United States;Phoenix;Éducation et formation
03/02/2022;1000;Product Analytics;User Segments;Asia;South Korea;Busan;Télécommunications
04/11/2020;10000;Key Capabilities;Session Replay;North America;Canada;Toronto;Services professionnels (conseil, comptabilité, juridique)
02/07/2019;2000;Digital Experience Monitoring;Frustration Scoring;Africa;Nigeria;Lagos;Tourisme et voyage
22/12/2016;2000;Digital Experience Analytics;Journey Analysis;South America;Colombia;Cali;Tourisme et voyage
13/09/2008;10000;Digital Experience Analytics;Journey Analysis;Europe;Germany;Hamburg;Tourisme et voyage
29/12/2022;10000;Digital Experience Analytics;Journey Analysis;North America;United States;Los Angeles;Services financiers et bancaires
25/09/2010;2000;Digital Experience Analytics;Journey Analysis;North America;United States;Chicago;Commerce de détail et e-commerce
27/12/2015;2000;Digital Experience Monitoring;Frustration Scoring;Europe;France;Marseille;Tourisme et voyage
14/03/2010;5000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Germany;Hamburg;Sports et loisirs
30/06/2011;10000;Product Analytics;Cross-Session;North America;Mexico;Puebla;Tourisme et voyage
31/03/2016;10000;Product Analytics;User Segments;North America;Jamaica;May Pen;Médias et divertissement
05/07/2010;500;Product Analytics;User Segments;Europe;United Kingdom;Glasgow;Services financiers et bancaires
08/11/2013;1000;Key Capabilities;Mobile App Analytics;Europe;Spain;Zaragoza;Télécommunications
19/03/2011;1000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Jamaica;Portmore;Télécommunications
18/06/2013;5000;Product Analytics;User Segments;North America;United States;New York City;Services professionnels (conseil, comptabilité, juridique)
17/11/2011;10000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Spain;Valencia;Services professionnels (conseil, comptabilité, juridique)
01/09/2022;5000;Digital Experience Analytics;Zone-Based Heatmaps;Africa;Nigeria;Port Harcourt;Télécommunications
26/02/2023;10000;Digital Experience Analytics;Journey Analysis;North America;United States;Houston;Tourisme et voyage
17/11/2020;1000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;France;Toulouse;Commerce de détail et e-commerce
25/03/2014;5000;Digital Experience Analytics;Journey Analysis;Asia;China;Guangzhou;Services financiers et bancaires
21/11/2011;500;Key Capabilities;Mobile App Analytics;South America;Colombia;Cali;Automobile et transport
22/09/2023;5000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;South Korea;Seoul;Services financiers et bancaires
11/03/2023;5000;Digital Experience Monitoring;Frustration Scoring;South America;Brazil;Brasília;Télécommunications
03/01/2012;1000;Digital Experience Monitoring;Frustration Scoring;North America;Canada;Montreal;Télécommunications
15/04/2021;10000;Digital Experience Monitoring;Error Analysis;Asia;India;New Delhi;Automobile et transport
12/10/2021;500;Digital Experience Analytics;Journey Analysis;North America;United States;Phoenix;Éducation et formation
16/04/2012;10000;Digital Experience Monitoring;Speed Analysis;Europe;United Kingdom;London;Médias et divertissement
01/07/2009;2000;Digital Experience Monitoring;Error Analysis;North America;United States;Houston;Télécommunications
20/11/2013;2000;Product Analytics;User Segments;Europe;United Kingdom;Liverpool;Éducation et formation
11/07/2012;500;Digital Experience Monitoring;Frustration Scoring;Europe;Spain;Madrid;Automobile et transport
30/10/2011;10000;Digital Experience Monitoring;Error Analysis;Europe;Spain;Zaragoza;Médias et divertissement
26/08/2009;10000;Key Capabilities;Impact Quantification;Asia;China;Beijing;Services financiers et bancaires
11/01/2011;10000;Product Analytics;User Segments;Asia;China;Shanghai;Commerce de détail et e-commerce
08/03/2011;500;Digital Experience Monitoring;Frustration Scoring;Europe;France;Toulouse;Sports et loisirs
03/11/2017;1000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Italy;Palermo;Automobile et transport
06/01/2010;10000;Key Capabilities;Impact Quantification;North America;United States;Houston;Services financiers et bancaires
30/03/2014;500;Product Analytics;Cross-Session;South America;Colombia;Cartagena;Tourisme et voyage
10/07/2014;10000;Product Analytics;User Segments;South America;Argentina;La Plata;Éducation et formation
27/07/2018;5000;Product Analytics;Retention Analytics;North America;Mexico;Guadalajara;Services financiers et bancaires
20/12/2021;500;Digital Experience Analytics;Journey Analysis;North America;United States;Phoenix;Automobile et transport
22/05/2008;10000;Key Capabilities;Impact Quantification;North America;United States;Houston;Santé et soins de santé
14/11/2014;10000;Key Capabilities;Mobile App Analytics;North America;United States;Los Angeles;Télécommunications
23/02/2017;5000;Digital Experience Monitoring;Speed Analysis;Asia;Japan;Osaka;Télécommunications
01/03/2013;5000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;France;Toulouse;Tourisme et voyage
08/07/2023;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Phoenix;Sports et loisirs
20/03/2020;1000;Key Capabilities;Mobile App Analytics;South America;Colombia;Medellín;Tourisme et voyage
03/07/2008;2000;Product Analytics;User Segments;North America;United States;New York City;Services financiers et bancaires
28/02/2015;500;Digital Experience Monitoring;Frustration Scoring;North America;United States;Los Angeles;Santé et soins de santé
29/01/2019;500;Product Analytics;User Segments;North America;Mexico;Puebla;Services professionnels (conseil, comptabilité, juridique)
14/04/2013;2000;Digital Experience Analytics;Journey Analysis;Africa;Ethiopia;Dire Dawa;Automobile et transport
23/12/2013;1000;Digital Experience Monitoring;Speed Analysis;Europe;United Kingdom;Liverpool;Automobile et transport
01/05/2020;10000;Key Capabilities;Session Replay;North America;Jamaica;May Pen;Télécommunications
07/03/2017;500;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Germany;Hamburg;Éducation et formation
11/06/2013;2000;Product Analytics;User Segments;North America;Mexico;Monterrey;Santé et soins de santé
19/05/2020;5000;Digital Experience Monitoring;Error Analysis;Asia;Japan;Nagoya;Services financiers et bancaires
13/07/2020;2000;Key Capabilities;Session Replay;Europe;Italy;Turin;Services professionnels (conseil, comptabilité, juridique)
10/12/2015;500;Digital Experience Monitoring;Speed Analysis;North America;United States;Phoenix;Éducation et formation
19/02/2009;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;New York City;Éducation et formation
09/03/2020;500;Product Analytics;User Segments;North America;United States;Phoenix;Santé et soins de santé
15/09/2010;5000;Product Analytics;User Segments;Europe;Spain;Zaragoza;Services professionnels (conseil, comptabilité, juridique)
26/09/2013;10000;Key Capabilities;Mobile App Analytics;Asia;India;Mumbai;Tourisme et voyage
26/06/2023;10000;Product Analytics;User Segments;Europe;Italy;Rome;Tourisme et voyage
